token_id,token,stem,pos,tags
0,Очень,очень,ADV,"Pos"
1,слабенький,слабенький,ADJ,"Nom, Pos, Masc, Sing"
2,фильм,фильм,NOUN,"Inan, Nom, Masc, Sing"
3,о,о,ADP,
4,легендарном,легендарный,ADJ,"Loc, Pos, Masc, Sing"
5,после,посол,NOUN,"Anim, Loc, Masc, Sing"
6,и,и,CCONJ,
7,путешественнике,путешественник,NOUN,"Anim, Loc, Masc, Sing"
8,.,.,PUNCT,
9,Дело,дело,NOUN,"Inan, Nom, Neut, Sing"
10,",",",",PUNCT,
11,следовательно,следовательно,NOUN,"Inan, Nom, Masc, Sing"
12,",",",",PUNCT,
13,не,не,PART,"Neg"
14,в,в,ADP,
15,после,посол,NOUN,"Anim, Loc, Masc, Sing"
16,.,.,PUNCT,
17,В,в,ADP,
18,ней,она,PRON,"Loc, Fem, Sing, 3, Prs"
19,о,о,ADP,
20,после,посол,NOUN,"Anim, Loc, Masc, Sing"
21,говорится,говориться,VERB,"Imp, Ind, Sing, 3, Pres, Fin, Mid"
22,следующее,следующий,ADJ,"Nom, Pos, Neut, Sing"
23,Что,что,PRON,"Inan, Acc, Neut, Sing, Int"
24,вы,вы,PRON,"Nom, Plur, 2, Prs"
25,знаете,знать,VERB,"Imp, Ind, Plur, 2, Pres, Fin, Act"
26,об,об,ADP,
27,этом,этот,DET,"Loc, Masc, Sing, Dem"
28,прославленном,прославленный,ADJ,"Loc, Pos, Masc, Sing"
29,русском,русский,ADJ,"Loc, Pos, Masc, Sing"
30,после,посол,NOUN,"Anim, Loc, Masc, Sing"
31,?,?,PUNCT,
32,Во,во,ADP,
33,всех,весь,DET,"Loc, Plur, Tot"
34,информационных,информационный,ADJ,"Loc, Pos, Plur"
35,сообщениях,сообщение,NOUN,"Inan, Loc, Neut, Plur"
36,об,об,ADP,
37,этом,этот,DET,"Loc, Masc, Sing, Dem"
38,после,посол,NOUN,"Anim, Loc, Masc, Sing"
39,упоминается,упоминаться,VERB,"Imp, Ind, Sing, 3, Pres, Fin, Mid"
40,имя,имя,NOUN,"Inan, Nom, Neut, Sing"
41,российского,российский,ADJ,"Gen, Pos, Masc, Sing"
42,президента,президент,NOUN,"Anim, Gen, Masc, Sing"
43,.,.,PUNCT,
44,«,«,PUNCT,
45,Они,они,PRON,"Nom, Plur, 3, Prs"
46,теперь,теперь,ADV,"Pos, Dem"
47,служат,служить,VERB,"Imp, Ind, Plur, 3, Pres, Fin, Act"
48,гайдуками,гайдук,NOUN,"Anim, Ins, Masc, Plur"
49,",",",",PUNCT,
50,или,или,CCONJ,
51,держимордами,держиморда,NOUN,"Anim, Ins, Masc, Plur"
52,при,при,ADP,
53,каком-то,какой-то,DET,"Loc, Masc, Sing, Ind"
54,после,посол,NOUN,"Anim, Loc, Masc, Sing"
55,...,...,PUNCT,
56,»,»,PUNCT,
57,После,после,ADP,
58,его,он,PRON,"Gen, Masc, Sing, 3, Prs"
59,использования,использование,NOUN,"Inan, Gen, Neut, Sing"
60,боли,боль,NOUN,"Inan, Gen, Fem, Sing"
61,не,не,PART,"Neg"
62,ощутите,ощутить,VERB,"Perf, Ind, Plur, 2, Fut, Fin, Act"
63,несколько,несколько,NUM,"Acc, Word, Card"
64,лет,год,NOUN,"Inan, Gen, Masc, Plur"
65,!,!,PUNCT,
66,После,после,ADP,
67,того,то,PRON,"Inan, Gen, Neut, Sing, Dem"
68,",",",",PUNCT,
69,как,как,SCONJ,
70,посетил,посетить,VERB,"Perf, Masc, Ind, Sing, Past, Fin, Act"
71,столько,столько,NUM,"Acc, Word, Card"
72,городов,город,NOUN,"Inan, Gen, Masc, Plur"
73,",",",",PUNCT,
74,они,они,PRON,"Nom, Plur, 3, Prs"
75,",",",",PUNCT,
76,наверно,наверно,ADV,"Pos"
77,уже,уже,ADV,"Pos"
78,все,все,PRON,"Anim, Nom, Plur, Tot"
79,путаются,путаться,VERB,"Imp, Ind, Plur, 3, Pres, Fin, Mid"
80,)),)),SYM,
81,После,после,ADP,
82,посещения,посещение,NOUN,"Inan, Gen, Neut, Sing"
83,этого,этот,DET,"Gen, Masc, Sing, Dem"
84,музея,музей,NOUN,"Inan, Gen, Masc, Sing"
85,испытываешь,испытывать,VERB,"Imp, Ind, Sing, 2, Pres, Fin, Act"
86,колоссальное,колоссальный,ADJ,"Acc, Pos, Neut, Sing"
87,потрясение,потрясение,NOUN,"Inan, Acc, Neut, Sing"
88,!,!,PUNCT,
89,А,а,CCONJ,
90,третье,третий,ADJ,"Nom, Neut, Sing, Word, Ord"
91,-,-,PUNCT,
92,попробуй,попробовать,VERB,"Perf, Imp, Sing, 2, Fin, Act"
93,найти,найти,VERB,"Perf, Inf, Act"
94,работу,работа,NOUN,"Inan, Acc, Fem, Sing"
95,после,после,ADP,
96,,45,NUM,"Digit, Card"
97,-,-,PUNCT,
98,,50,NUM,"Digit, Card"
99,...,...,PUNCT,
100,После,после,ADP,
101,этого,это,PRON,"Inan, Gen, Neut, Sing, Dem"
102,-,-,PUNCT,
103,опять,опять,ADV,"Pos"
104,моем,мыть,VERB,"Imp, Ind, Plur, 1, Pres, Fin, Act"
105,и,и,CCONJ,
106,режем,резать,VERB,"Imp, Ind, Plur, 1, Pres, Fin, Act"
107,в,в,ADP,
108,произвольном,произвольный,ADJ,"Loc, Pos, Masc, Sing"
109,порядке,порядок,NOUN,"Inan, Loc, Masc, Sing"
110,.,.,PUNCT,
111,О,о,ADP,
112,существовании,существование,NOUN,"Inan, Loc, Neut, Sing"
113,отравленных,отравить,VERB,"Perf, Gen, Plur, Past, Part, Pass"
114,посылок,посылка,NOUN,"Inan, Gen, Fem, Plur"
115,стало,стать,VERB,"Perf, Neut, Ind, Sing, Past, Fin, Act"
116,известно,известный,ADJ,"Pos, Neut, Sing, Short"
117,после,после,ADP,
118,анонимного,анонимный,ADJ,"Gen, Pos, Masc, Sing"
119,звонка,звонок,NOUN,"Inan, Gen, Masc, Sing"
120,в,в,ADP,
121,Скотланд-Ярд,Скотланд-Ярд,PROPN,"Inan, Acc, Masc, Com, Sing"
122,в,в,ADP,
123,пятницу,пятница,NOUN,"Inan, Acc, Fem, Sing"
124,.,.,PUNCT,
125,После,после,ADP,
126,этого,это,PRON,"Inan, Gen, Neut, Sing, Dem"
127,Петя,Петя,PROPN,"Anim, Nom, Masc, Giv, Sing"
128,с,с,ADP,
